Name,Category,Neighborhood,Address,Link,Google Maps,From Rogers Centre,Why it is good,Dietary notes,Tips
Beckta,Food,Downtown,"150 Nepean St, Ottawa, ON K2P 0B4",https://beckta.com,https://maps.google.com/maps?q=150+Nepean+St%2C+Ottawa%2C+ON+K2P+0B4,~24 min walk or 7 min drive,Award-winning Canadian restaurant with exceptional cuisine and wine pairings,Accommodates dietary restrictions with advance notice,Reservations essential - perfect for business dinners
Atelier,Food,Downtown,"540 Rochester St, Ottawa, ON K1S 4M2",http://atelierrestaurant.ca,https://maps.google.com/maps?q=540+Rochester+St%2C+Ottawa%2C+ON+K1S+4M2,~15 min drive - too far to walk,Canada's first 12-course molecular gastronomy tasting menu restaurant,Accommodates vegetarian and dietary restrictions,Reservations required weeks in advance - budget 3+ hours
The Whalesbone,Food,Downtown,"231 Elgin St, Ottawa, ON K2P 1L9",https://thewhalesbone.com,https://maps.google.com/maps?q=231+Elgin+St%2C+Ottawa%2C+ON+K2P+1L9,~19 min walk,Ottawa's premier oyster bar with daily fresh selections from both coasts,Excellent for pescatarians,Happy hour oyster specials Monday-Friday
Art-Is-In Bakery,Coffee,Downtown,"250 City Centre Ave, Ottawa, ON K1R 6K7",https://artisinbakery.com,https://maps.google.com/maps?q=250+City+Centre+Ave%2C+Ottawa%2C+ON+K1R+6K7,~25 min walk or 8 min drive,Local institution known for fresh-baked goods and excellent coffee,Vegan and gluten-free options available,Opens at 7am - try the famous cinnamon buns
Play Food & Wine,Food,ByWard Market,"1 ByWard Market Square, Ottawa, ON K1N 7A1",https://playfoodandwine.com,https://maps.google.com/maps?q=1+ByWard+Market+Square%2C+Ottawa%2C+ON+K1N+7A1,~12 min walk,Modern Canadian cuisine in heart of ByWard Market,Good vegetarian options,Great for post-conference drinks in historic market
Sidedoor Contemporary,Food,ByWard Market,"18 York St, Ottawa, ON K1N 5S6",https://sidedoorrestaurant.com,https://maps.google.com/maps?q=18+York+St%2C+Ottawa%2C+ON+K1N+5S6,~9 min walk,Creative contemporary cuisine in beautiful historic building,Excellent vegetarian and vegan options,Perfect for networking dinners with great cocktails
BeaverTails,Dessert,ByWard Market,"69 George St, Ottawa, ON K1N 5W2",https://beavertails.com,https://maps.google.com/maps?q=69+George+St%2C+Ottawa%2C+ON+K1N+5W2,~5 min walk,Iconic Ottawa treat - must-try local experience,Some vegan toppings available,Open late for post-conference dessert
The Shore Club,Food,Downtown,"11 Colonel By Dr, Ottawa, ON K1N 9H4",https://marriott.com,https://maps.google.com/maps?q=11+Colonel+By+Dr%2C+Ottawa%2C+ON+K1N+9H4,~5 min walk,Convenient Westin Hotel location with canal views,Full dietary accommodations,Perfect for quick conference lunch breaks
Primo Treats,Coffee,ByWard Market,"366 Dalhousie St, Ottawa, ON K1N 7G1",https://primotreats.ca,https://maps.google.com/maps?q=366+Dalhousie+St%2C+Ottawa%2C+ON+K1N+7G1,~9 min walk,Local coffee roaster with excellent beans and cozy atmosphere,Plant-based milk options,Free WiFi for presentation prep
Fauna,Food,Lower Town,"425 Dalhousie St, Ottawa, ON K1N 6E4",https://faunaottawa.ca,https://maps.google.com/maps?q=425+Dalhousie+St%2C+Ottawa%2C+ON+K1N+6E4,~7 min walk,Modern Canadian cuisine with focus on local seasonal ingredients,Excellent vegetarian options,Reservations highly recommended - chef-driven seasonal menu
Riviera,Food,Lower Town,"62 Sparks St, Ottawa, ON K1P 5A8",https://rivieraottawa.com,https://maps.google.com/maps?q=62+Sparks+St%2C+Ottawa%2C+ON+K1P+5A8,~12 min walk,Upscale French-Canadian bistro with excellent wine program,Traditional French cuisine with some vegetarian options,Great for networking lunches - extensive wine list
Chez Lucien,Food,ByWard Market,"137 Murray St, Ottawa, ON K1N 5M5",https://chezlucien.com,https://maps.google.com/maps?q=137+Murray+St%2C+Ottawa%2C+ON+K1N+5M5,~14 min walk,Classic bistro atmosphere with excellent burgers since 1987,Some vegetarian options,Perfect for casual conference lunches - try their famous burger
Lapointe Fish,Food,ByWard Market,"96 George St, Ottawa, ON K1N 5W2",https://lapointefish.com,https://maps.google.com/maps?q=96+George+St%2C+Ottawa%2C+ON+K1N+5W2,~10 min walk,Fresh fish market and restaurant with daily selections,Primarily seafood focused,Check daily fresh fish selections - market-style atmosphere
The Grand Pizzeria,Food,Lower Town,"74 George St, Ottawa, ON K1N 5W1",https://thegrandpizzeria.ca,https://maps.google.com/maps?q=74+George+St%2C+Ottawa%2C+ON+K1N+5W1,~8 min walk,Upscale pizza with creative toppings and craft cocktails,Vegetarian and vegan pizza options,Perfect for groups - excellent cocktail program
Mama Grazzi's Kitchen,Food,Lower Town,"25 George St, Ottawa, ON K1N 8W5",https://mamagrazzis.com,https://maps.google.com/maps?q=25+George+St%2C+Ottawa%2C+ON+K1N+8W5,~8 min walk,Authentic Italian cuisine with homemade pasta in historic building,Vegetarian pasta options,Generous portions great for sharing - comfort food
Saigon Boy,Food,ByWard Market,"317 Somerset St E, Ottawa, ON K1N 6K2",https://saigonboy.ca,https://maps.google.com/maps?q=317+Somerset+St+E%2C+Ottawa%2C+ON+K1N+6K2,~27 min walk or 10 min drive,Authentic Vietnamese cuisine with fresh ingredients and traditional flavors,Vegetarian and vegan options available,Perfect for quick healthy lunches - cash only
Thali,Food,Downtown,"136 O'Connor St, Ottawa, ON K2P 2G7",https://thaliottawa.ca/,https://maps.google.com/maps?q=136+O'Connor+St%2C+Ottawa%2C+ON+K2P+2G7,~21 min walk or 5 min drive,Authentic Indian cuisine with traditional thali-style meals,Extensive vegetarian and vegan options clearly marked,Try the traditional thali for a complete meal experience
Pure Kitchen Elgin,Food,Downtown,"340 Elgin St, Ottawa, ON K2P 1M6",https://www.purekitchenottawa.com,https://maps.google.com/maps?q=340+Elgin+St%2C+Ottawa%2C+ON+K2P+1M6,~11 min walk or 4 min drive,Plant-based restaurant with fresh healthy options,Fully plant-based menu with vegan and gluten-free options,Perfect for health-conscious conference attendees - try the Buddha bowls
JOEY RIDEAU,Food,ByWard Market,"50 Rideau St, Ottawa, ON K1N 9J7",https://joeyrestaurants.com,https://maps.google.com/maps?q=50+Rideau+St%2C+Ottawa%2C+ON+K1N+9J7,~12 min walk,Modern casual dining with globally-inspired menu,Accommodates dietary restrictions with vegetarian and gluten-free options,Great for networking lunches and group dinners - consistently reliable
